+-----+--------------------------------------------+------------------------------------------------------------+------------+---------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|  ID | Registry name                              | Biome name                                                 | BiomeType  | BiomeDictionary.Type                              | Spawns                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
|  25 | minecraft:stone_beach                      | Stone Beach                                                |            | BEACH                                             | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
|  26 | minecraft:cold_beach                       | Cold Beach                                                 |            | BEACH, COLD, SNOWY                                | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:ice_wraith [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:otterpenguin [weight: 10, min: 3, max: 6] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_frog [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
|  27 | minecraft:birch_forest                     | Birch Forest                                               | WARM       | FOREST                                            | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                     |
|  28 | minecraft:birch_forest_hills               | Birch Forest Hills                                         |            | FOREST, HILLS                                     | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                   |
|  29 | minecraft:roofed_forest                    | Roofed Forest                                              | WARM       | DENSE, FOREST, SPOOKY                             | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                     |
|  30 | minecraft:taiga_cold                       | Cold Taiga                                                 | ICY        | COLD, CONIFEROUS, FOREST, SNOWY                   | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { embers:ancient_golem [weight: 0, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                   |
|  31 | minecraft:taiga_cold_hills                 | Cold Taiga Hills                                           |            | COLD, CONIFEROUS, FOREST, HILLS, SNOWY            | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                     |
|  32 | minecraft:redwood_taiga                    | Mega Taiga                                                 |            | COLD, CONIFEROUS, FOREST                          | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                         |
|  33 | minecraft:redwood_taiga_hills              | Mega Taiga Hills                                           |            | COLD, CONIFEROUS, FOREST, HILLS                   | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] } |
|  34 | minecraft:extreme_hills_with_trees         | Extreme Hills+                                             |            | FOREST, MOUNTAIN, SPARSE                          | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { bewitchment:lizard [weight: 20, min: 1, max: 4] }; { bewitchment:owl [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:llama [weight: 5, min: 4, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                      |
|  35 | minecraft:savanna                          | Savanna                                                    |            | HOT, PLAINS, SAVANNA, SPARSE                      | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:ostrichhorse [weight: 5, min: 1, max: 3] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 1] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                |
|  36 | minecraft:savanna_rock                     | Savanna Plateau                                            |            | HOT, PLAINS, RARE, SAVANNA, SPARSE                | { bewitchment:black_dog [weight: 6, min: 1, max: 4] }; { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { avatarmod:ostrichhorse [weight: 5, min: 1, max: 3] }; { avatarmod:skybison [weight: 5, min: 1, max: 3] }; { bewitchment:raven [weight: 20, min: 1, max: 4] }; { bewitchment:snake [weight: 20, min: 1, max: 4] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 1] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:llama [weight: 8, min: 4, max: 4] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                           |
|  37 | minecraft:mesa                             | Mesa                                                       |            | DRY, MESA, SANDY                                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  38 | minecraft:mesa_rock                        | Mesa Plateau F                                             |            | DRY, MESA, SANDY, SPARSE                          | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  39 | minecraft:mesa_clear_rock                  | Mesa Plateau                                               |            | DRY, MESA, SANDY                                  | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { quark:ashen [weight: 10, min: 1, max: 2] }; { quark:dweller [weight: 10, min: 1, max: 2] }; { quark:stoneling [weight: 80, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:squid [weight: 10, min: 4, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  40 | mist:up_meadow                             | Meadow                                                     |            | PLAINS                                            | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:cave_spider [weight: 2, min: 0, max: 1] }; { minecraft:skeleton [weight: 1, min: 0, max: 1] }; { minecraft:spider [weight: 20, min: 0, max: 1] }; { minecraft:rabbit [weight: 1, min: 0, max: 1] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |
|  41 | mist:up_forest                             | Forest                                                     |            | FOREST                                            | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:cave_spider [weight: 2, min: 0, max: 1] }; { minecraft:skeleton [weight: 1, min: 0, max: 1] }; { minecraft:spider [weight: 20, min: 0, max: 1] }; { minecraft:rabbit [weight: 1, min: 0, max: 1] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  42 | mist:up_dense_forest                       | Dense Forest                                               |            | DENSE, FOREST, WET                                | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:cave_spider [weight: 2, min: 0, max: 1] }; { minecraft:skeleton [weight: 1, min: 0, max: 1] }; { minecraft:spider [weight: 20, min: 0, max: 1] }; { minecraft:rabbit [weight: 1, min: 0, max: 1] }; { mysticalworld:entity_beetle [weight: 5, min: 2, max: 4] }; { mysticalworld:entity_deer [weight: 6, min: 2, max: 4] }; { mysticalworld:entity_fox [weight: 4, min: 1, max: 3] }; { mysticalworld:entity_owl [weight: 9, min: 1, max: 3] }; { mysticalworld:entity_sprout [weight: 2, min: 2, max: 4] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
|  43 | mist:up_savanna                            | Savanna                                                    |            | DRY, HOT, SAVANNA                                 | { ebwizardry:evil_wizard [weight: 3, min: 1, max: 1] }; { ebwizardry:lightning_wraith [weight: 1, min: 1, max: 1] }; { minecraft:cave_spider [weight: 2, min: 0, max: 1] }; { minecraft:skeleton [weight: 1, min: 0, max: 1] }; { minecraft:spider [weight: 20, min: 0, max: 1] }; { minecraft:rabbit [weight: 1, min: 0, max: 1] }                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |
