"Mod name","Registry name","Hardness","Resistance"
"Dynamic Trees","dynamictrees:darkoakroot",2.50,3.00
"Dynamic Trees","dynamictrees:fruit",0.30,1.50
"Dynamic Trees","dynamictrees:fruitcocoa",0.00,0.00
"Dynamic Trees","dynamictrees:junglebranch",0.00,0.00
"Dynamic Trees","dynamictrees:leaves0",0.20,1.00
"Dynamic Trees","dynamictrees:leaves1",0.20,1.00
"Dynamic Trees","dynamictrees:oakbranch",0.00,0.00
"Dynamic Trees","dynamictrees:oakbranchx",0.00,0.00
"Dynamic Trees","dynamictrees:rootydirt",0.00,0.00
"Dynamic Trees","dynamictrees:rootydirtfake",0.00,0.00
"Dynamic Trees","dynamictrees:rootydirtspecies",0.00,0.00
"Dynamic Trees","dynamictrees:rootysand",0.00,0.00
"Dynamic Trees","dynamictrees:sapling",0.00,0.00
"Dynamic Trees","dynamictrees:sprucebranch",0.00,0.00
"Dynamic Trees","dynamictrees:sprucebranchx",0.00,0.00
"Dynamic Trees","dynamictrees:trunkshell",0.00,0.00
"Dynamic Trees TC","dynamictreestc:greatwoodbranch",0.00,0.00
"Dynamic Trees TC","dynamictreestc:greatwoodbranchx",0.00,0.00
"Dynamic Trees TC","dynamictreestc:greatwoodroot",2.50,3.00
"Dynamic Trees TC","dynamictreestc:leaves0",0.20,1.00
"Dynamic Trees TC","dynamictreestc:leaves_silverwood",0.20,1.00
"Dynamic Trees TC","dynamictreestc:silverwoodbranch",0.00,0.00
"Dynamic Trees TC","dynamictreestc:silverwoodbranchx",0.00,0.00
"Dynamic Trees TC","dynamictreestc:silverwoodroot",2.50,3.00
"Earthworks","earthworks:block_adobe",2.00,9.90
"Earthworks","earthworks:block_chalk",1.00,7.50
"Earthworks","earthworks:block_cinder",1.50,17.49
"Earthworks","earthworks:block_cob",1.00,9.00
"Earthworks","earthworks:block_concrete",2.00,30.00
"Earthworks","earthworks:block_cordwood",1.50,8.49
"Earthworks","earthworks:block_dry_stone",2.00,3999.90
"Earthworks","earthworks:block_gabion_dirt",2.00,36.00
"Earthworks","earthworks:block_gabion_falling_dirt",2.00,36.00
"Earthworks","earthworks:block_gabion_falling_gravel",2.00,36.00
"Earthworks","earthworks:block_gabion_falling_sand",2.00,36.00
"Earthworks","earthworks:block_gabion_gravel",2.00,36.00
"Earthworks","earthworks:block_gabion_sand",2.00,36.00
"Earthworks","earthworks:block_mud",0.60,3.00
"Earthworks","earthworks:block_mud_bottom",0.60,3.00
"Earthworks","earthworks:block_plaster",2.00,22.50
"Earthworks","earthworks:block_rammed_earth",2.00,30.00
"Earthworks","earthworks:block_reed",0.80,3.00
"Earthworks","earthworks:block_slate",1.50,30.00
"Earthworks","earthworks:block_slate_green",1.50,30.00
"Earthworks","earthworks:block_slate_purple",1.50,30.00
"Earthworks","earthworks:block_slate_shingle",1.20,30.00
"Earthworks","earthworks:block_slate_shingle_purple",1.20,30.00
"Earthworks","earthworks:block_slate_shingle_verte",1.20,30.00
"Earthworks","earthworks:block_slate_slab",1.50,30.00
"Earthworks","earthworks:block_slate_slab_green",1.50,30.00
"Earthworks","earthworks:block_slate_slab_purple",1.50,30.00
"Earthworks","earthworks:block_slate_tile",1.20,30.00
"Earthworks","earthworks:block_slate_tile_purple",1.20,30.00
"Earthworks","earthworks:block_slate_tile_verte",1.20,30.00
"Earthworks","earthworks:block_thatch",0.80,3.00
"Earthworks","earthworks:block_timber",2.00,9.99
"Earthworks","earthworks:block_timber_acacia",2.00,9.99
"Earthworks","earthworks:block_timber_birch",2.00,9.99
"Earthworks","earthworks:block_timber_dark_oak",2.00,9.99
"Earthworks","earthworks:block_timber_jungle",2.00,9.99
"Earthworks","earthworks:block_timber_spruce",2.00,9.99
"Earthworks","earthworks:block_wattle",1.50,24.99
"Earthworks","earthworks:block_wicker",0.80,3.00
"Earthworks","earthworks:block_wood_shingle",2.00,9.99
"Earthworks","earthworks:daub_cob_arrow0",1.50,30.00
"Earthworks","earthworks:daub_cob_arrow1",1.50,30.00
"Earthworks","earthworks:daub_cob_arrow2",1.50,30.00
"Earthworks","earthworks:daub_cob_arrow3",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor0",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor1",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor2",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor3",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor4",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor5",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor6",1.50,30.00
"Earthworks","earthworks:daub_cob_barndoor7",1.50,30.00
"Earthworks","earthworks:daub_cob_bottom",1.50,30.00
"Earthworks","earthworks:daub_cob_bottom_l",1.50,30.00
"Earthworks","earthworks:daub_cob_bottom_r",1.50,30.00
"Earthworks","earthworks:daub_cob_left",1.50,30.00
"Earthworks","earthworks:daub_cob_parallel_hor",1.50,30.00
"Earthworks","earthworks:daub_cob_parallel_vert",1.50,30.00
"Earthworks","earthworks:daub_cob_right",1.50,30.00
"Earthworks","earthworks:daub_cob_slash",1.50,30.00
"Earthworks","earthworks:daub_cob_slash_back",1.50,30.00
"Earthworks","earthworks:daub_cob_square",1.50,30.00
"Earthworks","earthworks:daub_cob_square_x",1.50,30.00
"Earthworks","earthworks:daub_cob_top",1.50,30.00
"Earthworks","earthworks:daub_cob_top_l",1.50,30.00
"Earthworks","earthworks:daub_cob_top_r",1.50,30.00
"Earthworks","earthworks:daub_cob_triangle0",1.50,30.00
"Earthworks","earthworks:daub_cob_triangle1",1.50,30.00
"Earthworks","earthworks:daub_cob_triangle2",1.50,30.00
"Earthworks","earthworks:daub_cob_triangle3",1.50,30.00
"Earthworks","earthworks:daub_cob_x",1.50,30.00
"Earthworks","earthworks:daub_cob_xbottom",1.50,30.00
"Earthworks","earthworks:daub_cob_xdoor0",1.50,30.00
"Earthworks","earthworks:daub_cob_xdoor1",1.50,30.00
"Earthworks","earthworks:daub_cob_xdoor2",1.50,30.00
"Earthworks","earthworks:daub_cob_xdoor3",1.50,30.00
"Earthworks","earthworks:daub_cob_xleft",1.50,30.00
"Earthworks","earthworks:daub_cob_xright",1.50,30.00
"Earthworks","earthworks:daub_cob_xtop",1.50,30.00
"Earthworks","earthworks:doubleslab_adobe",0.00,0.00
"Earthworks","earthworks:doubleslab_chalk",0.00,0.00
"Earthworks","earthworks:doubleslab_cinder",0.00,0.00
"Earthworks","earthworks:doubleslab_cob",0.00,0.00
"Earthworks","earthworks:doubleslab_concrete",0.00,0.00
"Earthworks","earthworks:doubleslab_cordwood",0.00,0.00
"Earthworks","earthworks:doubleslab_dry_stone",0.00,0.00
"Earthworks","earthworks:doubleslab_gabion_dirt",0.00,0.00
"Earthworks","earthworks:doubleslab_gabion_gravel",0.00,0.00
"Earthworks","earthworks:doubleslab_gabion_sand",0.00,0.00
"Earthworks","earthworks:doubleslab_mud",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_acacia",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_birch",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_dark_oak",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_jungle",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_oak",0.00,0.00
"Earthworks","earthworks:doubleslab_planks_vert_spruce",0.00,0.00
"Earthworks","earthworks:doubleslab_plaster",0.00,0.00
"Earthworks","earthworks:doubleslab_rammed_earth",0.00,0.00
"Earthworks","earthworks:doubleslab_reed",0.00,0.00
"Earthworks","earthworks:doubleslab_slate",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_green",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_purple",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_shingle",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_shingle_purple",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_shingle_verte",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_slab",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_slab_green",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_slab_purple",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_tile",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_tile_purple",0.00,0.00
"Earthworks","earthworks:doubleslab_slate_tile_verte",0.00,0.00
"Earthworks","earthworks:doubleslab_thatch",0.00,0.00
"Earthworks","earthworks:doubleslab_timber",0.00,0.00
"Earthworks","earthworks:doubleslab_timber_acacia",0.00,0.00
"Earthworks","earthworks:doubleslab_timber_birch",0.00,0.00
"Earthworks","earthworks:doubleslab_timber_dark_oak",0.00,0.00
"Earthworks","earthworks:doubleslab_timber_jungle",0.00,0.00
"Earthworks","earthworks:doubleslab_timber_spruce",0.00,0.00
"Earthworks","earthworks:doubleslab_wattle",0.00,0.00
"Earthworks","earthworks:doubleslab_wicker",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_acacia",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_birch",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_dark_oak",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_jungle",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_oak",0.00,0.00
"Earthworks","earthworks:doubleslab_wood_shingle_spruce",0.00,0.00
"Earthworks","earthworks:fence_planks_vert_acacia",2.00,9.00
"Earthworks","earthworks:fence_planks_vert_birch",2.00,9.00
"Earthworks","earthworks:fence_planks_vert_dark_oak",2.00,9.00
"Earthworks","earthworks:fence_planks_vert_jungle",2.00,9.00
"Earthworks","earthworks:fence_planks_vert_oak",2.00,9.00
"Earthworks","earthworks:fence_planks_vert_spruce",2.00,9.00
"Earthworks","earthworks:plaster_arrow0",3.00,22.50
"Earthworks","earthworks:plaster_arrow1",3.00,22.50
"Earthworks","earthworks:plaster_arrow2",3.00,22.50
"Earthworks","earthworks:plaster_arrow3",3.00,22.50
"Earthworks","earthworks:plaster_barndoor0",3.00,22.50
"Earthworks","earthworks:plaster_barndoor1",3.00,22.50
"Earthworks","earthworks:plaster_barndoor2",3.00,22.50
"Earthworks","earthworks:plaster_barndoor3",3.00,22.50
"Earthworks","earthworks:plaster_barndoor4",3.00,22.50
"Earthworks","earthworks:plaster_barndoor5",3.00,22.50
"Earthworks","earthworks:plaster_barndoor6",3.00,22.50
"Earthworks","earthworks:plaster_barndoor7",3.00,22.50
"Earthworks","earthworks:plaster_bottom",3.00,22.50
"Earthworks","earthworks:plaster_bottom_l",3.00,22.50
"Earthworks","earthworks:plaster_bottom_r",3.00,22.50
"Earthworks","earthworks:plaster_left",3.00,22.50
"Earthworks","earthworks:plaster_parallel_hor",3.00,22.50
"Earthworks","earthworks:plaster_parallel_vert",3.00,22.50
"Earthworks","earthworks:plaster_right",3.00,22.50
"Earthworks","earthworks:plaster_slash",3.00,22.50
"Earthworks","earthworks:plaster_slash_back",3.00,22.50
"Earthworks","earthworks:plaster_square",3.00,22.50
"Earthworks","earthworks:plaster_square_x",3.00,22.50
"Earthworks","earthworks:plaster_top",3.00,22.50
"Earthworks","earthworks:plaster_top_l",3.00,22.50
"Earthworks","earthworks:plaster_top_r",3.00,22.50
"Earthworks","earthworks:plaster_triangle0",3.00,22.50
"Earthworks","earthworks:plaster_triangle1",3.00,22.50
"Earthworks","earthworks:plaster_triangle2",3.00,22.50
"Earthworks","earthworks:plaster_triangle3",3.00,22.50
"Earthworks","earthworks:plaster_x",3.00,22.50
"Earthworks","earthworks:plaster_xbottom",3.00,22.50
"Earthworks","earthworks:plaster_xdoor0",3.00,22.50
"Earthworks","earthworks:plaster_xdoor1",3.00,22.50
"Earthworks","earthworks:plaster_xdoor2",3.00,22.50
"Earthworks","earthworks:plaster_xdoor3",3.00,22.50
"Earthworks","earthworks:plaster_xleft",3.00,22.50
"Earthworks","earthworks:plaster_xright",3.00,22.50
"Earthworks","earthworks:plaster_xtop",3.00,22.50
"Earthworks","earthworks:slab_adobe",2.00,10.00
"Earthworks","earthworks:slab_chalk",1.00,5.00
"Earthworks","earthworks:slab_cinder",1.50,7.50
"Earthworks","earthworks:slab_cob",1.00,5.00
"Earthworks","earthworks:slab_concrete",2.00,10.00
"Earthworks","earthworks:slab_cordwood",1.50,7.50
"Earthworks","earthworks:slab_dry_stone",2.00,10.00
"Earthworks","earthworks:slab_gabion_dirt",2.00,10.00
"Earthworks","earthworks:slab_gabion_gravel",2.00,10.00
"Earthworks","earthworks:slab_gabion_sand",2.00,10.00
"Earthworks","earthworks:slab_mud",0.60,3.00
"Earthworks","earthworks:slab_planks_vert_acacia",2.00,10.00
"Earthworks","earthworks:slab_planks_vert_birch",2.00,10.00
"Earthworks","earthworks:slab_planks_vert_dark_oak",2.00,10.00
"Earthworks","earthworks:slab_planks_vert_jungle",2.00,10.00
"Earthworks","earthworks:slab_planks_vert_oak",2.00,10.00
"Earthworks","earthworks:slab_planks_vert_spruce",2.00,10.00
"Earthworks","earthworks:slab_plaster",2.00,10.00
"Earthworks","earthworks:slab_rammed_earth",2.00,10.00
"Earthworks","earthworks:slab_reed",0.80,4.00
"Earthworks","earthworks:slab_slate",1.50,7.50
"Earthworks","earthworks:slab_slate_green",1.50,7.50
"Earthworks","earthworks:slab_slate_purple",1.50,7.50
"Earthworks","earthworks:slab_slate_shingle",1.20,6.00
"Earthworks","earthworks:slab_slate_shingle_purple",1.20,6.00
"Earthworks","earthworks:slab_slate_shingle_verte",1.20,6.00
"Earthworks","earthworks:slab_slate_slab",1.50,7.50
"Earthworks","earthworks:slab_slate_slab_green",1.50,7.50
"Earthworks","earthworks:slab_slate_slab_purple",1.50,7.50
"Earthworks","earthworks:slab_slate_tile",1.20,6.00
"Earthworks","earthworks:slab_slate_tile_purple",1.20,6.00
"Earthworks","earthworks:slab_slate_tile_verte",1.20,6.00
"Earthworks","earthworks:slab_thatch",0.80,4.00
"Earthworks","earthworks:slab_timber",2.00,10.00
"Earthworks","earthworks:slab_timber_acacia",2.00,10.00
"Earthworks","earthworks:slab_timber_birch",2.00,10.00
"Earthworks","earthworks:slab_timber_dark_oak",2.00,10.00
"Earthworks","earthworks:slab_timber_jungle",2.00,10.00
"Earthworks","earthworks:slab_timber_spruce",2.00,10.00
"Earthworks","earthworks:slab_wattle",1.50,7.50
"Earthworks","earthworks:slab_wicker",0.80,4.00
"Earthworks","earthworks:slab_wood_shingle_acacia",2.00,10.00
"Earthworks","earthworks:slab_wood_shingle_birch",2.00,10.00
"Earthworks","earthworks:slab_wood_shingle_dark_oak",2.00,10.00
"Earthworks","earthworks:slab_wood_shingle_jungle",2.00,10.00
"Earthworks","earthworks:slab_wood_shingle_oak",2.00,10.00
"Earthworks","earthworks:slab_wood_shingle_spruce",2.00,10.00
"Earthworks","earthworks:stair_adobe",2.00,30.00
"Earthworks","earthworks:stair_chalk",1.00,22.50
"Earthworks","earthworks:stair_cinder",1.50,52.47
"Earthworks","earthworks:stair_cob",1.00,27.00
"Earthworks","earthworks:stair_concrete",2.00,90.00
"Earthworks","earthworks:stair_cordwood",1.50,25.47
"Earthworks","earthworks:stair_dry_stone",2.00,11999.70
"Earthworks","earthworks:stair_gabion_dirt",2.00,108.00
"Earthworks","earthworks:stair_gabion_gravel",2.00,108.00
"Earthworks","earthworks:stair_gabion_sand",2.00,108.00
"Earthworks","earthworks:stair_mud",0.60,9.00
"Earthworks","earthworks:stair_planks_vert_acacia",2.00,30.00
"Earthworks","earthworks:stair_planks_vert_birch",2.00,30.00
"Earthworks","earthworks:stair_planks_vert_dark_oak",2.00,30.00
"Earthworks","earthworks:stair_planks_vert_jungle",2.00,30.00
"Earthworks","earthworks:stair_planks_vert_oak",2.00,30.00
"Earthworks","earthworks:stair_planks_vert_spruce",2.00,30.00
"Earthworks","earthworks:stair_plaster",2.00,67.50
"Earthworks","earthworks:stair_rammed_earth",2.00,90.00
"Earthworks","earthworks:stair_reed",0.80,12.00
"Earthworks","earthworks:stair_slate",1.50,90.00
"Earthworks","earthworks:stair_slate_green",1.50,90.00
"Earthworks","earthworks:stair_slate_purple",1.50,90.00
"Earthworks","earthworks:stair_slate_shingle",1.20,90.00
"Earthworks","earthworks:stair_slate_shingle_purple",1.20,90.00
"Earthworks","earthworks:stair_slate_shingle_verte",1.20,90.00
"Earthworks","earthworks:stair_slate_slab",1.50,90.00
"Earthworks","earthworks:stair_slate_slab_green",1.50,90.00
"Earthworks","earthworks:stair_slate_slab_purple",1.50,90.00
"Earthworks","earthworks:stair_slate_tile",1.20,90.00
"Earthworks","earthworks:stair_slate_tile_purple",1.20,90.00
"Earthworks","earthworks:stair_slate_tile_verte",1.20,90.00
"Earthworks","earthworks:stair_thatch",0.80,12.00
"Earthworks","earthworks:stair_timber",2.00,30.00
"Earthworks","earthworks:stair_timber_acacia",2.00,30.00
"Earthworks","earthworks:stair_timber_birch",2.00,30.00
"Earthworks","earthworks:stair_timber_dark_oak",2.00,30.00
"Earthworks","earthworks:stair_timber_jungle",2.00,30.00
"Earthworks","earthworks:stair_timber_spruce",2.00,30.00
"Earthworks","earthworks:stair_wattle",1.50,74.97
"Earthworks","earthworks:stair_wicker",0.80,12.00
"Earthworks","earthworks:stair_wood_shingle_acacia",2.00,30.00
"Earthworks","earthworks:stair_wood_shingle_birch",2.00,30.00
"Earthworks","earthworks:stair_wood_shingle_dark_oak",2.00,30.00
"Earthworks","earthworks:stair_wood_shingle_jungle",2.00,30.00
"Earthworks","earthworks:stair_wood_shingle_oak",2.00,30.00
"Earthworks","earthworks:stair_wood_shingle_spruce",2.00,30.00
"Earthworks","earthworks:wall_adobe",2.00,30.00
"Earthworks","earthworks:wall_chalk",1.00,22.50
"Earthworks","earthworks:wall_cinder",1.50,52.47
"Earthworks","earthworks:wall_cob",1.00,27.00
"Earthworks","earthworks:wall_concrete",2.00,90.00
"Earthworks","earthworks:wall_cordwood",1.50,25.47
"Earthworks","earthworks:wall_dry_stone",2.00,11999.70
"Earthworks","earthworks:wall_gabion_dirt",2.00,108.00
"Earthworks","earthworks:wall_gabion_gravel",2.00,108.00
"Earthworks","earthworks:wall_gabion_sand",2.00,108.00
"Earthworks","earthworks:wall_mud",0.60,9.00
"Earthworks","earthworks:wall_plaster",2.00,67.50
"Earthworks","earthworks:wall_rammed_earth",2.00,90.00
"Earthworks","earthworks:wall_reed",0.80,12.00
"Earthworks","earthworks:wall_slate",1.50,90.00
"Earthworks","earthworks:wall_slate_green",1.50,90.00
"Earthworks","earthworks:wall_slate_purple",1.50,90.00
"Earthworks","earthworks:wall_slate_shingle",1.20,90.00
"Earthworks","earthworks:wall_slate_shingle_purple",1.20,90.00
"Earthworks","earthworks:wall_slate_shingle_verte",1.20,90.00
"Earthworks","earthworks:wall_slate_slab",1.50,90.00
"Earthworks","earthworks:wall_slate_slab_green",1.50,90.00
"Earthworks","earthworks:wall_slate_slab_purple",1.50,90.00
"Earthworks","earthworks:wall_slate_tile",1.20,90.00
"Earthworks","earthworks:wall_slate_tile_purple",1.20,90.00
"Earthworks","earthworks:wall_slate_tile_verte",1.20,90.00
"Earthworks","earthworks:wall_thatch",0.80,12.00
"Earthworks","earthworks:wall_timber",2.00,30.00
"Earthworks","earthworks:wall_timber_acacia",2.00,30.00
"Earthworks","earthworks:wall_timber_birch",2.00,30.00
"Earthworks","earthworks:wall_timber_dark_oak",2.00,30.00
"Earthworks","earthworks:wall_timber_jungle",2.00,30.00
"Earthworks","earthworks:wall_timber_spruce",2.00,30.00
"Earthworks","earthworks:wall_wattle",1.50,74.97
"Earthworks","earthworks:wall_wicker",0.80,12.00
"Earthworks","earthworks:wall_wood_shingle_acacia",2.00,30.00
"Earthworks","earthworks:wall_wood_shingle_birch",2.00,30.00
"Earthworks","earthworks:wall_wood_shingle_dark_oak",2.00,30.00
"Earthworks","earthworks:wall_wood_shingle_jungle",2.00,30.00
"Earthworks","earthworks:wall_wood_shingle_oak",2.00,30.00
"Earthworks","earthworks:wall_wood_shingle_spruce",2.00,30.00
"Eerie Entities","eerieentities:pumpkin_creeper",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_cyclops",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_lit_creeper",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_lit_cyclops",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_lit_owo",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_lit_rawr",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_lit_surprised",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_owo",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_rawr",1.00,5.00
"Eerie Entities","eerieentities:pumpkin_surprised",1.00,5.00
"Electroblob's Wizardry","ebwizardry:arcane_workbench",1.00,5.00
"Electroblob's Wizardry","ebwizardry:crystal_block",5.00,30.00
"Electroblob's Wizardry","ebwizardry:crystal_flower",0.00,0.00
"Electroblob's Wizardry","ebwizardry:crystal_ore",3.00,15.00
"Electroblob's Wizardry","ebwizardry:ice_statue",0.50,2.50
"Electroblob's Wizardry","ebwizardry:magic_light",0.00,0.00
"Electroblob's Wizardry","ebwizardry:meteor",0.00,0.00
"Electroblob's Wizardry","ebwizardry:petrified_stone",1.50,30.00
"Electroblob's Wizardry","ebwizardry:snare",0.00,0.00
"Electroblob's Wizardry","ebwizardry:spectral_block",-1.00,18000000.00
"Electroblob's Wizardry","ebwizardry:transportation_stone",0.30,1.50
"Electroblob's Wizardry","ebwizardry:vanishing_cobweb",4.00,20.00
"Embers Rekindled","embers:advanced_edge",1.00,5.00
"Embers Rekindled","embers:alchemical_redstone",0.00,0.00
"Embers Rekindled","embers:alchemy_pedestal",1.60,8.00
"Embers Rekindled","embers:alchemy_tablet",1.60,8.00
"Embers Rekindled","embers:aluminum",0.00,0.00
"Embers Rekindled","embers:archaic_bricks",1.60,8.00
"Embers Rekindled","embers:archaic_edge",1.60,8.00
"Embers Rekindled","embers:archaic_light",1.60,8.00
"Embers Rekindled","embers:archaic_tile",1.60,8.00
"Embers Rekindled","embers:ashen_brick",1.60,8.00
"Embers Rekindled","embers:ashen_brick_slab",1.60,8.00
"Embers Rekindled","embers:ashen_brick_slab_double",1.60,8.00
"Embers Rekindled","embers:ashen_stone",1.60,8.00
"Embers Rekindled","embers:ashen_stone_slab",1.60,8.00
"Embers Rekindled","embers:ashen_stone_slab_double",1.60,8.00
"Embers Rekindled","embers:ashen_tile",1.60,8.00
"Embers Rekindled","embers:ashen_tile_slab",1.60,8.00
"Embers Rekindled","embers:ashen_tile_slab_double",1.60,8.00
"Embers Rekindled","embers:auto_hammer",1.60,8.00
"Embers Rekindled","embers:beam_cannon",1.60,8.00
"Embers Rekindled","embers:beam_splitter",1.00,5.00
"Embers Rekindled","embers:bin",1.00,5.00
"Embers Rekindled","embers:block_aluminum",1.60,8.00
"Embers Rekindled","embers:block_bronze",2.30,11.50
"Embers Rekindled","embers:block_caminite_brick",1.60,8.00
"Embers Rekindled","embers:block_caminite_brick_slab",1.60,8.00
"Embers Rekindled","embers:block_caminite_brick_slab_double",1.60,8.00
"Embers Rekindled","embers:block_copper",1.40,7.00
"Embers Rekindled","embers:block_dawnstone",1.60,8.00
"Embers Rekindled","embers:block_electrum",1.60,8.00
"Embers Rekindled","embers:block_furnace",1.60,8.00
"Embers Rekindled","embers:block_lantern",1.00,5.00
"Embers Rekindled","embers:block_lead",1.60,8.00
"Embers Rekindled","embers:block_nickel",2.20,11.00
"Embers Rekindled","embers:block_silver",1.60,8.00
"Embers Rekindled","embers:block_tank",1.60,8.00
"Embers Rekindled","embers:block_tin",1.30,6.50
"Embers Rekindled","embers:boiler",1.60,8.00
"Embers Rekindled","embers:breaker",1.60,8.00
"Embers Rekindled","embers:bronze",0.00,0.00
"Embers Rekindled","embers:caminite_lever",0.75,3.75
"Embers Rekindled","embers:catalytic_plug",1.60,8.00
"Embers Rekindled","embers:catalyzer",1.60,8.00
"Embers Rekindled","embers:charger",1.00,5.00
"Embers Rekindled","embers:cinder_plinth",1.60,8.00
"Embers Rekindled","embers:clockwork_attenuator",1.60,8.00
"Embers Rekindled","embers:combustor",1.60,8.00
"Embers Rekindled","embers:copper",0.00,0.00
"Embers Rekindled","embers:copper_cell",1.40,7.00
"Embers Rekindled","embers:creative_ember_source",1.00,5.00
"Embers Rekindled","embers:crystal_cell",1.00,5.00
"Embers Rekindled","embers:dawnstone",0.00,0.00
"Embers Rekindled","embers:dawnstone_anvil",1.60,8.00
"Embers Rekindled","embers:electrum",0.00,0.00
"Embers Rekindled","embers:ember_activator",1.60,8.00
"Embers Rekindled","embers:ember_bore",1.00,5.00
"Embers Rekindled","embers:ember_emitter",0.60,3.00
"Embers Rekindled","embers:ember_funnel",1.60,8.00
"Embers Rekindled","embers:ember_gauge",1.00,5.00
"Embers Rekindled","embers:ember_injector",1.60,8.00
"Embers Rekindled","embers:ember_pulser",1.60,8.00
"Embers Rekindled","embers:ember_receiver",0.60,3.00
"Embers Rekindled","embers:ember_relay",1.00,5.00
"Embers Rekindled","embers:ember_siphon",1.60,8.00
"Embers Rekindled","embers:explosion_pedestal",1.60,8.00
"Embers Rekindled","embers:field_chart",1.60,8.00
"Embers Rekindled","embers:fluid_gauge",1.00,5.00
"Embers Rekindled","embers:fluid_transfer",1.60,8.00
"Embers Rekindled","embers:glow",0.00,0.00
"Embers Rekindled","embers:gold",0.00,0.00
"Embers Rekindled","embers:heat_coil",1.00,5.00
"Embers Rekindled","embers:inferno_forge",1.00,5.00
"Embers Rekindled","embers:inferno_forge_edge",1.00,5.00
"Embers Rekindled","embers:iron",0.00,0.00
"Embers Rekindled","embers:item_dropper",1.00,5.00
"Embers Rekindled","embers:item_pipe",1.00,5.00
"Embers Rekindled","embers:item_pump",1.00,5.00
"Embers Rekindled","embers:item_transfer",1.60,8.00
"Embers Rekindled","embers:large_tank",1.00,5.00
"Embers Rekindled","embers:lead",0.00,0.00
"Embers Rekindled","embers:mech_accessor",1.00,5.00
"Embers Rekindled","embers:mech_core",1.00,5.00
"Embers Rekindled","embers:mech_edge",1.00,5.00
"Embers Rekindled","embers:mechanical_pump",1.00,5.00
"Embers Rekindled","embers:mini_boiler",1.60,8.00
"Embers Rekindled","embers:mixer",1.00,5.00
"Embers Rekindled","embers:nickel",0.00,0.00
"Embers Rekindled","embers:ore_aluminum",1.60,8.00
"Embers Rekindled","embers:ore_copper",1.80,9.00
"Embers Rekindled","embers:ore_lead",2.50,12.50
"Embers Rekindled","embers:ore_nickel",2.20,11.00
"Embers Rekindled","embers:ore_quartz",1.90,9.50
"Embers Rekindled","embers:ore_silver",2.50,12.50
"Embers Rekindled","embers:ore_tin",1.30,6.50
"Embers Rekindled","embers:pipe",1.00,5.00
"Embers Rekindled","embers:pump",1.00,5.00
"Embers Rekindled","embers:reactor",1.60,8.00
"Embers Rekindled","embers:sealed_planks",2.50,12.50
"Embers Rekindled","embers:seed",1.60,8.00
"Embers Rekindled","embers:silver",0.00,0.00
"Embers Rekindled","embers:stairs_ashen_brick",1.60,8.00
"Embers Rekindled","embers:stairs_ashen_stone",1.60,8.00
"Embers Rekindled","embers:stairs_ashen_tile",1.60,8.00
"Embers Rekindled","embers:stairs_caminite_brick",1.60,8.00
"Embers Rekindled","embers:stamper",1.00,5.00
"Embers Rekindled","embers:stamper_base",1.00,5.00
"Embers Rekindled","embers:stirling",1.60,8.00
"Embers Rekindled","embers:stone_edge",1.00,5.00
"Embers Rekindled","embers:structure_marker",1.60,8.00
"Embers Rekindled","embers:tin",0.00,0.00
"Embers Rekindled","embers:vacuum",1.60,8.00
"Embers Rekindled","embers:wall_ashen_brick",1.60,8.00
"Embers Rekindled","embers:wall_ashen_stone",1.60,8.00
